campaigncutscene_tooltip 				(Nhấp để chuyển sang chương tiếp theo của câu chuyện)
objective_food_feedprisoners            Hoàn thành một lượt phục vụ bữa tối bằng cách cho tất cả tù nhân ăn

objective_food_buildkitchenwatermains_description   Ống lớn dùng để vận chuyển khối lượng nước lớn dưới áp lực cao. Ống nhỏ dùng để kết nối các thiết bị riêng lẻ vào nguồn cấp nước.\n\nSử dụng chế độ xem TIỆN ÍCH để đặt các ống lớn đến các tòa nhà của bạn. Sau đó, sử dụng các ống nhỏ để kết nối ống lớn với tất cả các vật thể lân cận cần cấp nước.
objective_food_connectwater_description              Ống lớn dùng để vận chuyển khối lượng nước lớn dưới áp lực cao. Ống nhỏ dùng để kết nối các thiết bị riêng lẻ vào nguồn cấp nước.\n\nSử dụng chế độ xem TIỆN ÍCH để đặt các ống lớn đến các tòa nhà của bạn. Sau đó, sử dụng các ống nhỏ để kết nối ống lớn với tất cả các vật thể lân cận cần cấp nước.
objective_food_connectwater2_description             Ống lớn dùng để vận chuyển khối lượng nước lớn dưới áp lực cao. Ống nhỏ dùng để kết nối các thiết bị riêng lẻ vào nguồn cấp nước.\n\nSử dụng chế độ xem TIỆN ÍCH để đặt các ống lớn đến các tòa nhà của bạn. Sau đó, sử dụng các ống nhỏ để kết nối ống lớn với tất cả các vật thể lân cận cần cấp nước.

campaigncutscene_foodinfirmary			Trạm y tế
campaigncutscene_foodfamily             Gia đình
campaigncutscene_foodfeud                Mối thâm thù
campaigncutscene_foodregret				Hối hận
campaigncutscene_foodsuccession 		Kế vị

campaigncutscene_foodfamily_description		Gia đình Palermo từng điều hành mạng lưới buôn bán ma túy trên khắp vùng bờ đông nước Mỹ. Hãy khám phá câu chuyện hậu trường của Don Palermo và các con của lão.

adviser_name_thedon                     Don Palermo
adviser_name_thedonangry                Don Palermo
adviser_name_nico                       Nico Tamoretti
adviser_name_nicoshower					Nico Tamoretti
adviser_name_nicosuited					Nico Tamoretti
adviser_name_sonny                      Sonny Palermo
adviser_name_sonnysuited				Sonny Palermo
adviser_name_sonnystrangled				Sonny Palermo
adviser_name_anthonysuited				Anthony Palermo
adviser_name_wiggins					Wiggins
adviser_name_nicoinfirmary				Nico Tamoretti
adviser_name_vitalia					Vitalia Palermo

cutscene_foodfamily_palermo01			Don Victor Palermo. Ông trùm của một trong những gia tộc mafia đáng sợ nhất vùng bờ đông.
cutscene_foodfamily_palermo1			Nhà Palermo đã lẩn trốn khỏi FBI suốt nhiều thập kỷ.
cutscene_foodfamily_palermo02			Anthony Palermo, con trai trưởng và là người thừa kế tự nhiên của Don, điều hành các hoạt động hàng ngày. 
cutscene_foodfamily_palermo03			Nico Tamoretti tuy không phải là thành viên chính thức của băng đảng, nhưng đã được chào đón vào công việc kinh doanh của gia đình khi cưới Vitalia, đứa con gái duy nhất của Don.
cutscene_foodfamily_palermo04			Và Sonny Palermo. Con trai thứ hai của Don. Đứa con út yếu ớt trong nhà. Tính khí như một con chó pitbull, và độ thông minh thì chỉ bằng một nửa.

cutscene_foodfamily_palermo2 			Đế chế của họ điều hành một mạng lưới buôn bán ma túy từ Maine đến Florida. 
cutscene_foodfamily_palermo3			Mọi chuyện cứ thế tiếp diễn cho đến khi Anthony bị bắt quả tang ngay tại trận.
cutscene_foodfamily_palermo3b            Bắn chết bởi một gã chồng ghen tuông.
cutscene_foodfamily_palermo4			Không may cho gia tộc, cảnh sát tại hiện trường đã tìm thấy 12 kg ma túy nguyên chất trong túi thể thao của Anthony. 
cutscene_foodfamily_palermo5			Và bằng chứng đã dẫn thẳng tới người đứng đầu.
cutscene_foodfamily_palermo6			Chỉ trong một đêm, mọi thứ mà gia đình Palermo xây dựng đã sụp đổ hoàn toàn. FBI đã có mọi thứ họ cần để đảm bảo tất cả bọn họ sẽ phải rục xương trong tù.
cutscene_foodfamily_palermo7			Điều đó khiến Vitalia, con gái của Don, trở thành thành viên duy nhất còn sống của gia đình không phải ngồi sau song sắt.
cutscene_foodfamily_palermo8			Chúng ta không biết nhiều về cô ấy, ngoài việc cô ấy luôn bị giữ ở bên ngoài công việc kinh doanh của gia đình. 
cutscene_foodfamily_palermo9 			Nhưng chắc chắn phải có ai đó ở bên ngoài đã tuồn số ma túy đó vào.

adviser_food_findalldrugs1				Tình hình ăn uống đã được giải quyết xong. Các tù nhân sẽ vui vẻ hơn rất nhiều khi được ăn uống trở lại.

adviser_food_findalldrugs2				Bạn có thể cá là nhà Palermo đã bán số ma túy đó cho mọi kẻ lừa đảo ở đây. 
adviser_food_findalldrugs3				Cai ngục báo với tôi rằng họ thấy rất nhiều tù nhân có dấu hiệu vật vã cai nghiện kể từ sau vụ cháy. 
adviser_food_findalldrugs4				Tôi muốn bạn khám xét từng tù nhân và từng phòng giam. Tôi cá là chúng ta sẽ tìm thấy ma túy của nhà Palermo trên khắp nhà tù.

objective_food_findalldrugs					Tìm kiếm tất cả ma túy trong nhà tù
objective_food_findalldrugs_description 	Khám xét từng khu phòng giam bằng cách nhấp vào một tù nhân trong khu đó, rồi nhấp vào 'Khám xét khu phòng giam'. Hoặc sử dụng tùy chọn Khám xét đột xuất trên thanh công cụ ở cuối màn hình.

objective_food_hiremoreguards 			(TÙY CHỌN) Thuê thêm cai ngục để tăng tốc độ khám xét

adviser_food_drugsfound1				Về mặt tích cực, tình hình không tệ như chúng ta tưởng, nhưng rõ ràng có những vấn đề về sự phụ thuộc vào ma túy và rượu bia.
adviser_food_drugsfound2				Chúng ta cần giúp đỡ những người này. Đó là cách duy nhất để hạn chế các hoạt động của họ và giải quyết các triệu chứng của họ. 
adviser_food_drugsfound2b 				Bắt đầu một chương trình điều trị ma túy tại trạm y tế. Các Bác sĩ của chúng ta sẽ cung cấp một chất hóa học thay thế giúp giảm bớt cơn thèm thuốc của những người nghiện.
adviser_food_drugsfound3				Đối với những người nghiện rượu, không có chất hóa học thay thế, vì vậy tôi đề xuất chúng ta bắt đầu các buổi trị liệu nhóm. 
adviser_food_drugsfound4				Bạn sẽ phải xây một Phòng sinh hoạt mới để tiến hành các cuộc họp đó.
adviser_food_drugsfound5				Để bắt đầu các Chương trình mới, hãy vào mục 'Báo cáo' ở góc dưới bên phải màn hình, sau đó chọn 'Chương trình'.

objective_food_drugtreatment			Bắt đầu chương trình điều trị ma túy
objective_food_cureaddictions			(TÙY CHỌN) Bắt đầu chữa trị chứng nghiện ma túy cho tù nhân
objective_food_alcoholprogram			Bắt đầu chương trình trị liệu nhóm cho người nghiện rượu
objective_Food_HelpAlcoholics			(TÙY CHỌN) Bắt đầu giúp đỡ những người nghiện rượu phục hồi
objective_food_buildcommonroom 			Xây dựng một phòng sinh hoạt
objective_food_buildcommonroomchairs	Tạo một nơi họp mặt bao gồm 8 chiếc ghế

objective_food_drugtreatment_description 	Nhấp vào 'Báo cáo' ở góc dưới bên phải màn hình, sau đó chọn tab 'Chương trình'. Chương trình này có tên là 'Cai nghiện bằng thuốc', diễn ra tại Trạm y tế.\n\nLưu ý: bạn sẽ cần thiết lập ít nhất hai giờ lao động trong Lịch sinh hoạt để cho phép tù nhân tham gia.
objective_food_alcoholprogram_description 	Nhấp vào 'Báo cáo' ở góc dưới bên phải màn hình, sau đó chọn tab 'Chương trình'.\n\nLưu ý: bạn sẽ cần thiết lập ít nhất hai giờ lao động trong Lịch sinh hoạt để cho phép tù nhân tham gia.

cutscene_food_feudintro1 				Chúng ta vừa có một sự cố trong phòng tắm. Có một cái xác. 
cutscene_food_feudintro2 				Thực ra là có hai cái xác. May mắn cho chúng ta là có lắp camera ở trong đó. 
cutscene_food_feudintro3 				Khi nào rảnh, hãy nhấp vào Ảnh Polaroid trong Phòng tắm và chúng ta sẽ xem chuyện gì đã xảy ra.

objective_food_triggerfightscene		Khi bạn đã sẵn sàng, hãy nhấp vào ảnh polaroid trong Phòng tắm để tiếp tục.
objective_food_triggerfightscene_description 	Phòng tắm nằm ở góc tây bắc của cơ sở.

cutscene_food_feud1b                    Một mình. Hoàn hảo.
cutscene_food_feud1                     Mày làm tốn thời gian quá đấy.
cutscene_food_feud2                     Bớt nói nhảm đi. Tao chưa bao giờ hiểu nổi đứa em gái tao nhìn thấy cái gì ở gã như mày.
cutscene_food_feud2b 					Đây là ý tưởng của cô ta à? Khử ông già sao?
cutscene_food_feud3                     Mày nghĩ vậy sao, thằng mập chết tiệt? Tao không hề muốn ông cụ bị thương. Tao yêu quý ông ấy như cha đẻ của mình vậy.
cutscene_food_feud3b 					Tao phát ốm khi phải chứng kiến gia đình này bị hủy hoại bởi sự ngu ngốc của mày rồi.
cutscene_food_feud4                     Đám cháy đó vốn là dành cho mày.
cutscene_food_feud5                     Vậy thì coi như đây là sự trả lễ.
cutscene_food_feud6                     Đừng có giả làm thánh sống. Cả hai chúng ta đều thừa biết kiểu gì cũng có ngày mày định xử tao.
cutscene_food_feud7                     Phải, mày luôn là một gã thông minh, Nico. Hãy nhìn xem nó đưa mày tới đâu kìa. Đừng lo, mày sẽ không cảm thấy đau đớn gì đâu.
cutscene_food_feud8                     Tao đã bảo rồi. Hãy coi chừng cái lưng của mày.
cutscene_food_feud8b                    euuegggghhhh!!!!!.....
cutscene_food_feud8c                    AAARRRGGRGGGGGG!!!!
cutscene_food_feud8d                    Mày đã gặp Franky bao giờ chưa? Hắn ta có một tài năng độc nhất vô nhị với dây đàn piano đấy.
cutscene_food_feud8e                    Thật lòng mà nói, khi hắn xử lý xong, người ta sẽ nghĩ đây là một vụ tự sát.
cutscene_food_feud9                     Chuyện này chưa kết thúc đâu, Nico.
cutscene_food_feud9b                    Mày đang giỡn mặt với tao à.

cutscene_food_successionintro			Rất tốt. Chúng ta đã tạo ra sự khác biệt thực sự ở đây, và tôi nghĩ nhà tù đã được kiểm soát trở lại.
cutscene_food_successionintro2 			Bạn có thể ở lại và nâng cấp nhà tù hơn nữa, hoặc chúng ta có thể chuyển sang cơ sở tiếp theo.
cutscene_food_successionintro3 			Khi bạn đã sẵn sàng chuyển đi, hãy nhấp vào Ảnh Polaroid trong Trạm y tế.

objective_food_runending 				Khi bạn đã sẵn sàng, hãy nhấp vào ảnh polaroid trong Trạm y tế để tiếp tục.
objective_food_runending_description	Trạm y tế nằm ở rìa phía tây nam của cơ sở nhà tù.

cutscene_food_succession1				Vitalia!
cutscene_food_succession1b				...?
cutscene_food_succession2				Em yêu!
cutscene_food_succession3				Anh xin lỗi. Anh làm hỏng chuyện rồi.
cutscene_food_succession4				Suỵt, ngoan nào.
cutscene_food_succession5				Họ nói bố già không qua khỏi tuần này đâu.
cutscene_food_succession6				Em biết. Em đến để nói lời tạm biệt.
cutscene_food_succession7				Em biết không, chúng ta có thể từ bỏ tất cả ngay bây giờ. Anh và em. Cái cuộc sống chết tiệt này. Nó đã cướp đi mọi thứ rồi.
cutscene_food_succession8				Em cũng muốn thế.
cutscene_food_succession9				Nhưng em không thể. Em là người nhà Palermo, Nico.
cutscene_food_succession10				Và khi cha ra đi, còn anh chỉ là một kẻ ngoại tộc thế chỗ ông. Kẻ thù của chúng ta sẽ giẫm đạp lên gia tộc này mất.
cutscene_food_succession11 				Em không thể để điều đó xảy ra. Em phải cho chúng thấy một người nhà Palermo vẫn đang ngồi trên ngai vàng.
cutscene_food_succession12				Cái gì, vậy là cô đến đây để khử tôi sao? Sau tất cả những gì chúng ta đã trải qua?
cutscene_food_succession13				Nico, Nico, Nico. Anh cổ hủ quá rồi. 
cutscene_food_succession14 				Không đâu, anh yêu. Em đang ly hôn với anh đấy.
cutscene_food_succession15				Cái quái gì thế? Cô đùa tôi à? Không có gia tộc chống lưng, tôi sẽ là một cái xác không hồn ở trong này.
cutscene_food_succession16				Em biết chứ, anh yêu. Nhưng đó không còn là mối bận tâm của em nữa rồi.
cutscene_food_succession17				Con chúc bố đến một nơi tốt đẹp hơn, bố già.
cutscene_food_succession18				Vĩnh biệt, Nico.


# =============================================================================
# Riot 
# =============================================================================

campaignchapter_riot                    G.A.B.O.S
campaignchapter_riot_description		Một cuộc bạo loạn đang diễn ra tại Nhà tù Alchemico. Hãy vào đó và tái bảo đảm an ninh cho tòa nhà.

campaigncutscene_riotintro              Tin nóng

adviser_riot_newsintro_01				Tin nóng đây! 
adviser_riot_newsintro_02				Bạo loạn tại Nhà tù Alchemico - nhân viên và lực lượng an ninh đã rút lui ra hàng rào bao quanh để chờ hỗ trợ quân sự.
adviser_riot_newsintro_1				Một số nhân sự vẫn đang mất tích, bao gồm cả Tổng giám đốc công ty Charles Wallace.
adviser_riot_newsintro_2				Bạo loạn bùng phát sau vụ bắt giữ một số thẩm phán cấp cao...
