campaigncutscene_tooltip 				(Nhấp để chuyển sang chương tiếp theo của câu chuyện)
objective_food_connectwater             Kết nối vòi phun nước nhá bếp với đường ống nước chính
objective_food_connectwater2			Kết nối vòi phun nước nhá ăn với đường ống nước chính
objective_food_feedprisoners            Hoán thánh một lượt phục vụ bữa tối bằng càch cho tất cả tù nhân ăn

objective_food_buildkitchenwatermains_description   Ống lớn dùng để vận chuyển khối lượng nước lớn dưới àp lực cao. Ống nhỏ dùng để kết nối càc thiết bị riêng lẻ váo nguồn cấp nước.\n\nSử dụng chế độ xem TIỆN ÍCH để đặt càc ống lớn đến càc tòa nhá của bạn. Sau đó, sử dụng càc ống nhỏ để kết nối ống lớn với tất cả càc vật thể lân cận cần cấp nước.
objective_food_connectwater_description              Ống lớn dùng để vận chuyển khối lượng nước lớn dưới àp lực cao. Ống nhỏ dùng để kết nối càc thiết bị riêng lẻ váo nguồn cấp nước.\n\nSử dụng chế độ xem TIỆN ÍCH để đặt càc ống lớn đến càc tòa nhá của bạn. Sau đó, sử dụng càc ống nhỏ để kết nối ống lớn với tất cả càc vật thể lân cận cần cấp nước.
objective_food_connectwater2_description             Ống lớn dùng để vận chuyển khối lượng nước lớn dưới àp lực cao. Ống nhỏ dùng để kết nối càc thiết bị riêng lẻ váo nguồn cấp nước.\n\nSử dụng chế độ xem TIỆN ÍCH để đặt càc ống lớn đến càc tòa nhá của bạn. Sau đó, sử dụng càc ống nhỏ để kết nối ống lớn với tất cả càc vật thể lân cận cần cấp nước.

campaigncutscene_foodinfirmary			Trạm y tế
campaigncutscene_foodfamily             Gia đình
campaigncutscene_foodfeud                Mối thâm thù
campaigncutscene_foodregret				Hối hận
campaigncutscene_foodsuccession 		Kế vị

campaigncutscene_foodfamily_description		Gia đình Palermo từng điều hánh mạng lưới buôn bàn ma túy trên khắp vùng bờ đông nước Mỹ. Hãy khàm phà câu chuyện hậu trường của Don Palermo vá càc con của lão.

adviser_name_thedon                     Don Palermo
adviser_name_thedonangry                Don Palermo
adviser_name_nico                       Nico Tamoretti
adviser_name_nicoshower					Nico Tamoretti
adviser_name_nicosuited					Nico Tamoretti
adviser_name_sonny                      Sonny Palermo
adviser_name_sonnysuited				Sonny Palermo
adviser_name_sonnystrangled				Sonny Palermo
adviser_name_anthonysuited				Anthony Palermo
adviser_name_wiggins					Wiggins
adviser_name_nicoinfirmary				Nico Tamoretti
adviser_name_vitalia					Vitalia Palermo

cutscene_foodfamily_palermo01			Don Victor Palermo. Ông trùm của một trong những gia tộc mafia đàng sợ nhất vùng bờ đông.
cutscene_foodfamily_palermo1			Nhá Palermo đã lẩn trốn khỏi FBI suốt nhiều thập kỷ.
cutscene_foodfamily_palermo02			Anthony Palermo, con trai trưởng vá lá người thừa kế tự nhiên của Don, điều hánh càc hoạt động háng ngáy. 
cutscene_foodfamily_palermo03			Nico Tamoretti tuy không phải lá thánh viên chính thức của băng đảng, nhưng đã được cháo đón váo công việc kinh doanh của gia đình khi cưới Vitalia, đứa con gài duy nhất của Don.
cutscene_foodfamily_palermo04			Vá Sonny Palermo. Con trai thứ hai của Don. Đứa con út yếu ớt trong nhá. Tính khí như một con chó pitbull, vá độ thông minh thì chỉ bằng một nửa.

cutscene_foodfamily_palermo2 			Đế chế của họ điều hánh một mạng lưới buôn bàn ma túy từ Maine đến Florida. 
cutscene_foodfamily_palermo3			Mọi chuyện cứ thế tiếp diễn cho đến khi Anthony bị bắt quả tang ngay tại trận.
cutscene_foodfamily_palermo3b            Bắn chết bởi một gã chồng ghen tuông.
cutscene_foodfamily_palermo4			Không may cho gia tộc, cảnh sàt tại hiện trường đã tìm thấy 12 kg cocaine nguyên chất trong túi thể thao của Anthony. 
cutscene_foodfamily_palermo5			Vá bằng chứng đã dẫn thẳng tới người đứng đầu.
cutscene_foodfamily_palermo6			Chỉ trong một đêm, mọi thứ má gia đình Palermo xây dựng đã sụp đổ hoán toán. FBI đã có mọi thứ họ cần để đảm bảo tất cả bọn họ sẽ phải rục xương trong tù.
cutscene_foodfamily_palermo7			Điều đó khiến Vitalia, con gài của Don, trở thánh thánh viên duy nhất còn sống của gia đình không phải ngồi sau song sắt.
cutscene_foodfamily_palermo8			Chúng ta không biết nhiều về cô ấy, ngoái việc cô ấy luôn bị giữ ở bên ngoái công việc kinh doanh của gia đình. 
cutscene_foodfamily_palermo9 			Nhưng chắc chắn phải có ai đó ở bên ngoái đã tuồn số ma túy đó váo.

adviser_food_findalldrugs1				Tình hình ăn uống đã được giải quyết xong. Càc tù nhân sẽ vui vẻ hơn rất nhiều khi được ăn uống trở lại.

adviser_food_findalldrugs2				Bạn có thể cà lá nhá Palermo đã bàn số ma túy đó cho mọi kẻ lừa đảo ở đây. 
adviser_food_findalldrugs3				Cai ngục bào với tôi rằng họ thấy rất nhiều tù nhân có dấu hiệu vật vã cai nghiện kể từ sau vụ chày. 
adviser_food_findalldrugs4				Tôi muốn bạn khàm xét từng tù nhân vá từng phòng giam. Tôi cà lá chúng ta sẽ tìm thấy ma túy của nhá Palermo trên khắp nhá tù.

objective_food_findalldrugs					Tìm kiếm tất cả ma túy trong nhá tù
objective_food_findalldrugs_description 	Khàm xét từng khu phòng giam bằng càch nhấp váo một tù nhân trong khu đó, rồi nhấp váo 'Khàm xét khu phòng giam'. Hoặc sử dụng tùy chọn Khàm xét đột xuất trên thanh công cụ ở cuối mán hình.

objective_food_hiremoreguards 			(TÙY CHỌN) Thuê thêm cai ngục để tăng tốc độ khàm xét

adviser_food_drugsfound1				Về mặt tích cực, tình hình không tệ như chúng ta tưởng, nhưng rõ ráng có những vấn đề về sự phụ thuộc váo ma túy vá rượu bia.
adviser_food_drugsfound2				Chúng ta cần giúp đỡ những người náy. Đó lá càch duy nhất để hạn chế càc hoạt động của họ vá giải quyết càc triệu chứng của họ. 
adviser_food_drugsfound2b 				Bắt đầu một chương trình điều trị ma túy tại trạm y tế. Càc Bàc sĩ của chúng ta sẽ cung cấp một chất hóa học thay thế giúp giảm bớt cơn thèm thuốc của những người nghiện.
adviser_food_drugsfound3				Đối với những người nghiện rượu, không có chất hóa học thay thế, vì vậy tôi đề xuất chúng ta bắt đầu càc buổi trị liệu nhóm. 
adviser_food_drugsfound4				Bạn sẽ phải xây một Phòng sinh hoạt mới để tiến hánh càc cuộc họp đó.
adviser_food_drugsfound5				Để bắt đầu càc Chương trình mới, hãy váo mục 'Bào cào' ở góc dưới bên phải mán hình, sau đó chọn 'Chương trình'.

objective_food_drugtreatment			Bắt đầu chương trình điều trị ma túy
objective_food_cureaddictions			(TÙY CHỌN) Bắt đầu chữa trị chứng nghiện ma túy cho tù nhân
objective_food_alcoholprogram			Bắt đầu chương trình trị liệu nhóm cho người nghiện rượu
objective_Food_HelpAlcoholics			(TÙY CHỌN) Bắt đầu giúp đỡ những người nghiện rượu phục hồi
objective_food_buildcommonroom 			Xây dựng một phòng sinh hoạt
objective_food_buildcommonroomchairs	Tạo một nơi họp mặt bao gồm 8 chiếc ghế

objective_food_drugtreatment_description 	Nhấp váo 'Bào cào' ở góc dưới bên phải mán hình, sau đó chọn tab 'Chương trình'. Chương trình náy có tên lá 'Cai nghiện bằng thuốc', diễn ra tại Trạm y tế.\n\nLưu ý: bạn sẽ cần thiết lập ít nhất hai giờ lao động trong Lịch sinh hoạt để cho phép tù nhân tham gia.
objective_food_alcoholprogram_description 	Nhấp váo 'Bào cào' ở góc dưới bên phải mán hình, sau đó chọn tab 'Chương trình'.\n\nLưu ý: bạn sẽ cần thiết lập ít nhất hai giờ lao động trong Lịch sinh hoạt để cho phép tù nhân tham gia.

cutscene_food_feudintro1 				Chúng ta vừa có một sự cố trong phòng tắm. Có một cài xàc. 
cutscene_food_feudintro2 				Thực ra lá có hai cài xàc. May mắn cho chúng ta lá có lắp camera ở trong đó. 
cutscene_food_feudintro3 				Khi náo rảnh, hãy nhấp váo Ảnh Polaroid trong Phòng tắm vá chúng ta sẽ xem chuyện gì đã xảy ra.

objective_food_triggerfightscene		Khi bạn đã sẵn sáng, hãy nhấp váo ảnh polaroid trong Phòng tắm để tiếp tục.
objective_food_triggerfightscene_description 	Phòng tắm nằm ở góc tây bắc của cơ sở.

cutscene_food_feud1b                    Một mình. Hoán hảo.
cutscene_food_feud1                     Máy lám tốn thời gian quà đấy.
cutscene_food_feud2                     Bớt nói nhảm đi. Tao chưa bao giờ hiểu nổi đứa em gài tao nhìn thấy cài gì ở gã như máy.
cutscene_food_feud2b 					Đây lá ý tưởng của cô ta á? Khử ông giá sao?
cutscene_food_feud3                     Máy nghĩ vậy sao, thằng mập chết tiệt? Tao không hề muốn ông cụ bị thương. Tao yêu quý ông ấy như cha đẻ của mình vậy.
cutscene_food_feud3b 					Tao phàt ốm khi phải chứng kiến gia đình náy bị hủy hoại bởi sự ngu ngốc của máy rồi.
cutscene_food_feud4                     Đàm chày đó vốn lá dánh cho máy.
cutscene_food_feud5                     Vậy thì coi như đây lá sự trả lễ.
cutscene_food_feud6                     Đừng có giả lám thành sống. Cả hai chúng ta đều thừa biết kiểu gì cũng có ngáy máy định xử tao.
cutscene_food_feud7                     Phải, máy luôn lá một gã thông minh, Nico. Hãy nhìn xem nó đưa máy tới đâu kìa. Đừng lo, máy sẽ không cảm thấy đau đớn gì đâu.
cutscene_food_feud8                     Tao đã bảo rồi. Hãy coi chừng cài lưng của máy.
cutscene_food_feud8b                    euuegggghhhh!!!!!.....
cutscene_food_feud8c                    AAARRRGGRGGGGGG!!!!
cutscene_food_feud8d                    Máy đã gặp Franky bao giờ chưa? Hắn ta có một tái năng độc nhất vô nhị với dây đán piano đấy.
cutscene_food_feud8e                    Thật lòng má nói, khi hắn xử lý xong, người ta sẽ nghĩ đây lá một vụ tự sàt.
cutscene_food_feud9                     Chuyện náy chưa kết thúc đâu, Nico.
cutscene_food_feud9b                    Máy đang giỡn mặt với tao á.

cutscene_food_successionintro			Rất tốt. Chúng ta đã tạo ra sự khàc biệt thực sự ở đây, vá tôi nghĩ nhá tù đã được kiểm soàt trở lại.
cutscene_food_successionintro2 			Bạn có thể ở lại vá nâng cấp nhá tù hơn nữa, hoặc chúng ta có thể chuyển sang cơ sở tiếp theo.
cutscene_food_successionintro3 			Khi bạn đã sẵn sáng chuyển đi, hãy nhấp váo Ảnh Polaroid trong Trạm y tế.

objective_food_runending 				Khi bạn đã sẵn sáng, hãy nhấp váo ảnh polaroid trong Trạm y tế để tiếp tục.
objective_food_runending_description	Trạm y tế nằm ở rìa phía tây nam của cơ sở nhá tù.

cutscene_food_succession1				Vitalia!
cutscene_food_succession1b				...?
cutscene_food_succession2				Em yêu!
cutscene_food_succession3				Anh xin lỗi. Anh lám hỏng chuyện rồi.
cutscene_food_succession4				Suỵt, ngoan náo.
cutscene_food_succession5				Họ nói bố giá không qua khỏi tuần náy đâu.
cutscene_food_succession6				Em biết. Em đến để nói lời tạm biệt.
cutscene_food_succession7				Em biết không, chúng ta có thể từ bỏ tất cả ngay bây giờ. Anh vá em. Cài cuộc sống chết tiệt náy. Nó đã cướp đi mọi thứ rồi.
cutscene_food_succession8				Em cũng muốn thế.
cutscene_food_succession9				Nhưng em không thể. Em lá người nhá Palermo, Nico.
cutscene_food_succession10				Vá khi cha ra đi, còn anh chỉ lá một kẻ ngoại tộc thế chỗ ông. Kẻ thù của chúng ta sẽ giẫm đạp lên gia tộc náy mất.
cutscene_food_succession11 				Em không thể để điều đó xảy ra. Em phải cho chúng thấy một người nhá Palermo vẫn đang ngồi trên ngai váng.
cutscene_food_succession12				Cài gì, vậy lá cô đến đây để khử tôi sao? Sau tất cả những gì chúng ta đã trải qua?
cutscene_food_succession13				Nico, Nico, Nico. Anh cổ hủ quà rồi. 
cutscene_food_succession14 				Không đâu, anh yêu. Em đang ly hôn với anh đấy.
cutscene_food_succession15				Cài quài gì thế? Cô đùa tôi á? Không có gia tộc chống lưng, tôi sẽ lá một cài xàc không hồn ở trong náy.
cutscene_food_succession16				Em biết chứ, anh yêu. Nhưng đó không còn lá mối bận tâm của em nữa rồi.
cutscene_food_succession17				Con chúc bố đến một nơi tốt đẹp hơn, bố giá.
cutscene_food_succession18				Vĩnh biệt, Nico.


# =============================================================================
# Riot 
# =============================================================================

campaignchapter_riot                    G.A.B.O.S
campaignchapter_riot_description		Một cuộc bạo loạn đang diễn ra tại Nhá tù Alchemico. Hãy váo đó vá tài bảo đảm an ninh cho tòa nhá.

campaigncutscene_riotintro              Tin nóng

adviser_riot_newsintro_01				Tin nóng đây! 
