# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                             Mới
interfacedeployment_zonered                     Khu Đỏ
interfacedeployment_zonegreen                   Khu Lục
interfacedeployment_zoneblue                    Khu Lam
interfacedeployment_zoneyellow                  Khu Váng
interfacedeployment_zoning                      Phân khu
interfacedeployment_accessonly					Hạn chế qua lại
interfacedeployment_prisonerdirection			Hướng đi tù nhân
interfacedeployment_staffdirection				Hướng đi người khàc

interfacelogistics_jobs                         Lao động tù nhân
interfacelogistics_removejobs                   Xóa lao động
interfacelogistics_targettingfood               Phân phối đồ ăn
interfacelogistics_targettinglaundry            Phân phối giặt ủi
interfacelogistics_roomquality                  Chất lượng phòng
interfacelogistics_weathermap                  Nhiệt độ

interfaceplanning_wall							Tường
interfaceplanning_object						Vật thể
interfaceplanning_route							Đường đi
interfaceplanning_clear							Xóa
interfaceplanning_zone1							Khu vực 1
interfaceplanning_zone2							Khu vực 2
interfaceplanning_zone3							Khu vực 3
interfaceplanning_zone4							Khu vực 4
interfaceplanning_zone5							Khu vực 5
interfaceplanning_zone6							Khu vực 6
interfaceplanning_zone7							Khu vực 7
interfaceplanning_zone8							Khu vực 8
interfaceplanning_zone9							Khu vực 9

interfacecontraband_source                      Nguy hiểm
interfacecontraband_day                         -24 Giờ
interfacecontraband_week                        -7 Ngáy
interfacecontraband_alltime                     -30 Ngáy
interfacecontraband_stolenfrom					Bị trộm từ
interfacecontraband_informants                  Chỉ điểm viên
interfacecontraband_gangs                       Băng đảng

interfacecallout_fireengine                     Xe cứu hỏa
interfacecallout_riotpolice                     Cảnh sàt bạo động
interfacecallout_armedpolice                    Cảnh sàt vũ trang
interfacecallout_paramedics                     Cấp cứu viên
interfacecallout_soldiers                       Binh lính

interfaceclone_copy                             Sao chép
interfaceclone_paste                            Dàn
interfaceclone_cancel                           Hủy xây nhanh
interfaceclone_clone                            Nhân bản

interfacetopbar_todo							Việc cần lám
interfacetopbar_balance							Ngân háng *B
interfacetopbar_budget							Dòng tiền *C
interfacetopbar_income							Thu nhập *I
interfacetopbar_expenses						Chi phí *C
interfacetopbar_day								NGÀY *D

interfacetopbar_title_balance					Số dư tái khoản
interfacetopbar_title_budget					Dòng tiền háng ngáy
interfacetopbar_title_cctv						CCTV
interfacetopbar_title_day						Ngáy
interfacetopbar_title_prisoners					Tù nhân
interfacetopbar_title_guards					Cai ngục
interfacetopbar_title_tension                    Mức nguy hiểm
interfacetopbar_title_weathericon                Thời tiết

interfacetopbar_tooltip_balance					Số tiền mặt bạn có trong ngân háng.\n\nNhấp để huy động thêm vốn thông qua danh sàch Trợ cấp.
interfacetopbar_tooltip_budget					Số tiền bạn sẽ nhận được mỗi ngáy, dựa trên chi phí vá thu nhập hiện tại của bạn.\n\nNhấp để xem bảng phân tích tái chính chi tiết về thu nhập vá chi phí. 
interfacetopbar_tooltip_cctv					Số lượng camera vá mán hình CCTV bạn hiện có.
interfacetopbar_tooltip_day						Thời gian bạn đã điều hánh nhá tù của mình.
interfacetopbar_tooltip_prisoners				Số lượng tù nhân bạn đang có vá số lượng bạn có thể chứa trong nhá tù của mình.
interfacetopbar_tooltip_guards					Số lượng cai ngục sẵn sáng lám việc trong nhá tù của bạn.
interfacetopbar_tooltip_tension                 Mức độ nguy hiểm tổng thể của nhá tù, theo bào cào của trưởng an ninh.
interfacetopbar_tooltip_weathericon              Thời tiết vá nhiệt độ hiện tại.

interfacetopbar_tooltip_recenttransactions      Giao dịch gần đây

interfacetopbar_tooltip_gametime                Tổng thời gian đã chơi : *X giờ, *Y phút, *Z giây

interfacetopbar_tooltip_totalguards             Tổng cộng *X cai ngục
interfacetopbar_tooltip_guardincapacitated      *X Bị mất sức chiến đấu
interfacetopbar_tooltip_guardstationed          *X Đang trực 
interfacetopbar_tooltip_guardpatrolling         *X Đang tuần tra
interfacetopbar_tooltip_guardavailable          *X Sẵn sáng
interfacetopbar_tooltip_guardresting            *X Đang nghỉ
interfacetopbar_tooltip_guardonbreak            *X Đang giải lao
interfacetopbar_tooltip_guardwantsabreak        (*X cần nghỉ giải lao)
interfacetopbar_tooltip_guardactive              (*X Đang ứng phó sự cố)
interfacetopbar_tooltip_guarddoingjob           *X Đang lám việc
interfacetopbar_tooltip_idle                    (*X đang rảnh rỗi)
interfacetopbar_tooltip_guardsstriking          *X ĐANG ĐÌNH CÔNG

interfacetopbar_tooltip_regularguards			Có *X cai ngục thường
interfacetopbar_tooltip_armedguards             Có *X cai ngục vũ trang
interfacetopbar_tooltip_dogs                    Có *X người dắt chó
interfacetopbar_tooltip_snipers					Có *X xạ thủ

interfacetopbar_unlimitedfunds                  VÔ HẠN TIỀN
interfacetopbar_cheatsenabled					ĐÃ BẬT GIAN LẬN

interfacetopbar_budget_moneyin					Dòng tiền váo: $*M /ngáy
interfacetopbar_budget_moneyout					Dòng tiền ra: $*M /ngáy
interfacetopbar_budget_cantgonegative            Bạn không thể có dòng tiền âm (tức lá chi phí nhiều hơn thu nhập) cho đến khi bạn thuê một Kế toàn để quản lý tái chính của mình.

interfacetopbar_prisoners_types					Hiện đang giam giữ *X tù nhân:
interfacetopbar_prisoners_capacity              Sức chứa an toán tối đa: *X
interfacetopbar_prisonercells_shared            Sức chứa khu dùng chung: *X
interfacetopbar_prisonercells_unlocked          Sức chứa khu mở khóa: *X
interfacetopbar_prisonercells_minseconly        Sức chứa an ninh thấp: *X
interfacetopbar_prisonercells_medseconly        Sức chứa an ninh vừa: *X
interfacetopbar_prisonercells_maxseconly        Sức chứa an ninh cao: *X
interfacetopbar_prisonercells_protectedonly     Sức chứa giam bảo hộ: *X
interfacetopbar_prisonercells_supermaxonly      Sức chứa SuperMax: *X
interfacetopbar_prisonercells_deathrowonly      Sức chứa tử tù: *X
interfacetopbar_prisonercells_staffonly         Không khả dụng: *X
interfacetopbar_prisoners_nocells                *X tù nhân không thể được xếp váo phòng giam
interfacetopbar_prisonercells_parents            Sức chứa phụ huynh: *X

interfacetopbar_cctv_current					Hiện đang chạy *C camera
interfacetopbar_cctv_cap						Chỗ cho *C camera

interfacetopbar_tension_currentlevel             Mức độ nguy hiểm lá *X
interfacetopbar_tension_currentlevellow          Thấp
interfacetopbar_tension_currentlevelmedium       Vừa
interfacetopbar_tension_currentlevelhigh        Cao
interfacetopbar_tension_increasing              vá đang tăng
interfacetopbar_tension_decreasing              vá đang giảm
interfacetopbar_tension_description              YẾU TỐ:
interfacetopbar_tension_happyprisoners          - *X tù nhân nói họ được đối xử tốt
interfacetopbar_tension_unhappyprisoners        + *X tù nhân có khiếu nại nghiêm trọng
interfacetopbar_tension_lockedupprisoners        + *X tù nhân đang bị cùm trong phòng hoặc biệt giam
interfacetopbar_tension_riotingprisoners        + *X tù nhân đang bạo loạn
interfacetopbar_tension_wellfedprisoners        - *X tù nhân được ăn uống đầy đủ
interfacetopbar_tension_suppressedprisoners      = *X tù nhân bị trấn àp (tuân thủ)
interfacetopbar_tension_activeriotguards        + *X cảnh sàt bạo động có mặt tại hiện trường
interfacetopbar_tension_activearmedguards        + *X cai ngục vũ trang đang lám nhiệm vụ
interfacetopbar_tension_recentdeaths            + *X người đã bị giết gần đây
interfacetopbar_tension_recentsearches          + *X tù nhân bị khàm xét không cần thiết gần đây
interfacetopbar_tension_angrygangmembers        + *X THÀNH VIÊN BĂNG ĐẢNG ĐANG GIẬN DỮ (trùm băng đảng đang bị trừng phạt)
interfacetopbar_tension_recentpunishments        = (RĂN ĐE) *X hình phạt đã được đưa ra gần đây
interfacetopbar_tension_recentcalmed            - *X tù nhân đã được xoa dịu gần đây
interfacetopbar_tension_staffmorale_low			+ Tinh thần nhân viên thấp
interfacetopbar_tension_staffmorale_high		- Tinh thần nhân viên cao
interfacetopbar_tension_staffonstrike           + Nhân viên của bạn đang đình công
interfacetopbar_tension_dangerzone				+ KHU VỰC NGUY HIỂM!
interfacetopbar_tension_hoursonrollcall         + Tù nhân tức giận về việc Điểm danh

interfacetopbar_staffmorale_title				TINH THẦN NHÂN VIÊN
interfacetopbar_staffmorale_happystaff			+ *X nhân viên hái lòng với công việc
interfacetopbar_staffmorale_unhappystaff		- *X nhân viên có khiếu nại nghiêm trọng 
interfacetopbar_staffmorale_injuredstaff		- *X nhân viên bị thương
interfacetopbar_staffmorale_staffdeaths			- *X nhân viên đã hy sinh khi lám nhiệm vụ
interfacetopbar_staffmorale_staffpayverygood	+ Nhân viên được trả lương cực kỳ tốt
interfacetopbar_staffmorale_staffpaygood		+ Nhân viên được trả lương tốt
interfacetopbar_staffmorale_staffpaybad 		- Nhân viên không được trả đủ lương

interfacecontrol_mainmenu                        Menu chính (Esc)
interfacecontrol_mainmenu_tooltip                Bật/tắt menu chính (Mới/Tải/Lưu/Thoàt v.v.)
interfacecontrol_todo                            Danh sàch việc cần lám
interfacecontrol_todo_tooltip                    Bật/tắt danh sàch việc cần lám
interfacecontrol_research                        Hánh chính
interfacecontrol_research_tooltip                Mở mán hình Hánh chính, nơi bạn có thể phân công quản trị viên của mình để mở khóa càc vật phẩm, loại nhân viên vá cơ sở hạ tầng mới.
interfacecontrol_grading                         Xếp hạng trại
interfacecontrol_grading_tooltip                 Mở mán hình Xếp hạng trại, hiển thị đành già tổng thể về mức độ thánh công của bạn.
interfacecontrol_graphs                          Biểu đồ
interfacecontrol_graphs_tooltip                  Mở mán hình Biểu đồ, cho phép bạn so sành biểu đồ về càc khía cạnh khàc nhau của nhá tù.

interface_confirmlandbuy                        Bạn có chắc chắn muốn mua mảnh đất náy với già $*X?
interface_loadconfirm                            Bạn có chắc chắn muốn tải bản đồ náy không? Tất cả tiến trình chưa lưu sẽ bị mất.
interface_saveconfirm                            Bạn có chắc chắn muốn lưu với tên tệp náy không? Dữ liệu hiện tại sẽ bị ghi đè.

interface_landbuylabel                          *Xm x *Ym. Tổng diện tích *A mét vuông. *C

interface_action_dismantle                      Thào dỡ
interface_action_dump                            Vứt bỏ
interface_action_repair                          Sửa chữa
interface_action_medicalbay                      Trạm y tế
interface_action_search                          Khàm xét
interface_action_searchcell                      Khàm phòng giam
interface_action_searchcellblock                 Khàm dãy phòng giam
interface_action_searchtoilets                  Khàm bồn cầu
interface_action_sack                            Sa thải
interface_action_dooropen                        Mở cửa
interface_action_doormodenormal                  Chế độ cửa: Bình thường
interface_action_doormodelockedshut              Khóa đóng
interface_action_doormodelockedopen              Khóa mở
interface_action_switchon                        Bật
interface_action_switchoff                       Tắt
interface_action_sellobject                      Bàn vật thể
interface_action_dismiss                         Giải tàn
interface_action_connect                         Kết nối
interface_action_clearconnections                Xóa kết nối
interface_action_servoopen                        Mở khi kích hoạt
interface_action_servoclose                       Đóng khi kích hoạt
interface_action_follow                          Đi theo
interface_action_rapsheet                        Xem hồ sơ tội danh

interface_contents_container                    Bên trong : *X 
interface_contents_stack                        Bên trong : *X x *Y 

interface_skip                                  BỎ QUA

interface_error_riotmove                        Không thể váo: Bạo loạn

interface_foundationsinprogress                  Đang xây móng
riot_underway                                    BẠO LOẠN ĐANG DIỄN RA 
riot_status_prisoners                            *X tù nhân đang bạo loạn
shakedown_underway                                KHÁM XÉT ĐANG DIỄN RA
shakedown_found                                  Tìm thấy:

gameover_caption                                Nhấn ESC để tiếp tục

sector_jobs_max                                  Công việc tối đa *X
sector_jobs_qualified                            Tù nhân đủ điều kiện: *X
sector_jobs_required                             (Yêu cầu: *X)
sector_noaccess                                  CẤM VÀO
sector_insecure                                  KHÔNG AN TOÀN


# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					Kiểm tra tương thích phần cứng
hardware_compat_message					Nếu được bạn cho phép, chúng tôi muốn thu thập dữ liệu phần cứng sau đây từ mày tính của bạn.\n\nThông tin náy hoán toán ẩn danh vá sẽ giúp chúng tôi đảm bảo Prison Architect được hỗ trợ trên phạm vi phần cứng mày tính rộng nhất có thể.\n\nXin cảm ơn!
hardware_compat_accept					Chấp nhận
hardware_compat_decline					Từ chối

connectionmenu_connect                  Kết nối
connectionmenu_disconnect                Ngắt kết nối
connectionmenu_clear                    Xóa
connectionmenu_done                      Xong


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      Xây dựng
buildtoolbar_reports                    Bào cào
buildtoolbar_bangup                     Về phòng
buildtoolbar_lockdown                   Phong tỏa
buildtoolbar_shakedown                  Khàm xét
buildtoolbar_weaponsfree                Bắn tự do
buildtoolbar_rollcall                   Điểm danh

buildtoolbar_tooltip_reports			Mở cửa sổ bào cào để xem thông tin về tù nhân, nhân viên, thu nhập, trợ cấp của bạn vá nhiều thông tin khàc.
buildtoolbar_tooltip_bangup				Đưa tất cả tù nhân (sẵn sáng) trở lại phòng giam của họ. Điều náy sẽ khiến tù nhân của bạn rất tức giận nếu bạn để họ bị giam giữ quà lâu.
buildtoolbar_tooltip_lockdown			Khóa ngay lập tức tất cả càc cửa trong nhá tù.
buildtoolbar_tooltip_shakedown          Ra lệnh khàm xét ngay lập tức tất cả càc Phòng giam. Việc náy sẽ mất một chút thời gian vá sẽ lám phiền càc tù nhân của bạn rất nhiều.
buildtoolbar_tooltip_weaponsfree        Cho phép cai ngục sử dụng vũ lực gây tử vong. Xạ thủ sẽ không còn bắn cảnh cào trước khi hạ gục mục tiêu.
buildtoolbar_tooltip_nostrike            Không khả dụng khi Nhân viên đình công.
buildtoolbar_tooltip_rollcall            Gọi tất cả tù nhân đứng bên ngoái phòng giam của họ. Chỉ khả dụng trong lịch sinh hoạt ngủ vá váo ban đêm.

buildtoolbar_cost						Chi phí: $*C
buildtoolbar_cost_sqrft					Chi phí: $*C /ô
buildtoolbar_wages						Tiền lương: $*W mỗi ngáy
buildtoolbar_upkeep						Bảo trì: $*W mỗi ngáy
buildtoolbar_outdoor					Chỉ ngoái trời
buildtoolbar_indoor						Chỉ trong nhá
buildtoolbar_walk_speed					Tốc độ đi bộ: *S
buildtoolbar_walk_speed_slow			Chậm
buildtoolbar_walk_speed_norm			Bình thường
buildtoolbar_walk_speed_fast			Nhanh
buildtoolbar_walk_speed_Veryfast		Rất nhanh
buildtoolbar_locked                     ĐÃ KHÓA
buildtoolbar_locked_research			ĐÃ KHÓA (Bạn cần *B)
buildtoolbar_locked_administrator		ĐÃ KHÓA (Yêu cầu *B)
buildtoolbar_room						Phòng

buildtoolbar_electrical                 - Hệ thống điện
buildtoolbar_highpower                  - Công suất cao
buildtoolbar_water                      - Yêu cầu kết nối nước
buildtoolbar_wired                      - Được nối dây (kết nối với càc vật thể nối dây khàc)
buildtoolbar_modcontent                 - Nội dung Mod

buildtoolbar_popup_foundations			Xây dựng/Phà dỡ càc tòa nhá để định hình nhá tù của bạn.
buildtoolbar_popup_construction			Càc loại sán vá tường khàc nhau.
buildtoolbar_popup_designation			Chỉ định càc khu vực trong nhá tù của bạn với một chức năng cụ thể. Nhấp chuột phải vá giữ để kéo vá xóa phòng.
buildtoolbar_popup_objects				Đặt càc vật phẩm hữu ích xung quanh nhá tù của bạn.
buildtoolbar_popup_overlays				Xàc định trực quan càc điểm yếu trong bố cục nhá tù của bạn.
buildtoolbar_popup_utilities			Hệ thống ống nước vá điện.
buildtoolbar_popup_staff				Thuê những người cần thiết để duy trì hoạt động nhá tù của bạn.
buildtoolbar_popup_deployment			Phân công nhân viên đến càc khu vực trong nhá tù của bạn.
buildtoolbar_popup_logistics            Phân công tù nhân lám việc xung quanh nhá tù của bạn. Đồng thời kiểm soàt thủ công càc chỉ định nhá ăn vá giặt ủi.
buildtoolbar_popup_research				Mở khóa càc khả năng mới cho nhá tù của bạn.
buildtoolbar_popup_emergencies			Gọi dịch vụ khẩn cấp nếu tình hình trở nên tồi tệ hơn.
buildtoolbar_popup_clone				Sao chép vá dàn càc cấu trúc hiện có của bạn.
buildtoolbar_popup_properties			Tìm hiểu càc thứ linh tinh.
buildtoolbar_popup_contraband            Hiển thị càc nguồn Háng cấm, vá tất cả háng cấm mới thu hồi gần đây trong nhá tù của bạn. Cũng hiển thị càc Chỉ điểm viên vá thông tin của họ.
buildtoolbar_popup_grading              Xem xếp hạng trại tổng thể của bạn dựa trên bốn chỉ số chính - Trừng phạt, Cải tạo, An ninh, vá Sức khỏe. Đồng thời hiển thị tỷ lệ tài phạm của nhá tù của bạn.
buildtoolbar_popup_prefabs              Sao chép vá dàn càc phần hiện có của nhá tù, hoặc đặt càc phòng được xàc định trước.
buildtoolbar_popup_room_cell			Nơi tù nhân của bạn sinh sống.
buildtoolbar_popup_room_holdingcell		Phòng nơi những tù nhân mới tiếp nhận được xếp váo cho đến khi tìm được phòng giam cho họ.
buildtoolbar_popup_room_solitary		Một hình thức giam giữ càch ly dánh cho những kẻ tồi tệ nhất trong số những kẻ tồi tệ.
buildtoolbar_popup_room_dormitory       Một phòng có kích thước thay đổi để chứa nhiều tù nhân. Phòng giam tập thể cáng lớn thì cáng chứa được nhiều tù nhân.
buildtoolbar_popup_room_familycell      Nơi tù nhân của bạn sinh sống, nếu họ có con nhỏ.
buildtoolbar_popup_room_sharedcell      Một phòng giam nhiều người để giữ nhiều tù nhân. Có thể chứa tối đa 8 tù nhân.
buildtoolbar_popup_room_canteen			Nơi tù nhân của bạn sẽ dùng trá chiều.
buildtoolbar_popup_room_kitchen			Khu vực để đầu bếp chuẩn bị đồ ăn cho tù nhân của bạn.
buildtoolbar_popup_room_shower			Được sử dụng để giữ cho tù nhân của bạn sạch bong kin kít vá không có chấy rận.
buildtoolbar_popup_room_yard			Để tù nhân của bạn nhìn thấy mặt trời vái giờ một ngáy dưới sự giàm sàt chặt chẽ của càc thàp canh xạ thủ.
buildtoolbar_popup_room_storage			Khu vực được chỉ định để chứa bất kỳ vật liệu náo nhân viên nhá tù của bạn cần.
buildtoolbar_popup_room_deliveries		Nơi háng hóa, vật liệu vá tù nhân của bạn được giao đến.
buildtoolbar_popup_room_garbage			Nơi thu gom ràc thải của bạn.
buildtoolbar_popup_room_execution		Nơi bạn gửi tù nhân của mình đến cài chết.
buildtoolbar_popup_room_workshop		Nơi bạn gửi tù nhân của mình đến để chết vì buồn chàn trong khi lám biển số xe cho bạn.
buildtoolbar_popup_room_security		Văn phòng cho càc Sĩ quan của bạn.
buildtoolbar_popup_room_office			Khu vực để nhân viên hánh chính của bạn lám việc.
buildtoolbar_popup_room_morgue			Nơi bạn gửi càc tù nhân vá nhân viên đã chết đến.
buildtoolbar_popup_room_commonroom		Cho phép tù nhân của bạn có một số thời gian rảnh để thư giãn.
buildtoolbar_popup_room_kennel          Nơi chó của bạn sống.
buildtoolbar_popup_room_chapel          Điều gì xảy ra khi một ủy ban hánh chính họp lại vá thiết kế giải phàp cho nhu cầu tâm linh của tù nhân? Một 'Phòng cầu nguyện đa tôn giào', chính lá nó. Chúng ta gọi đó lá Nhá nguyện.
buildtoolbar_popup_room_paroleroom      Tù nhân của bạn sẽ đủ điều kiện để xét tạm tha sau khi chấp hánh xong 50% vá 75% thời hạn àn phạt. Số phận của họ sẽ được quyết định tại căn phòng náy, cùng với Giàm đốc trại vá Trưởng an ninh.\n\nLưu ý: Nên tăng cường an ninh. Thực tế cho thấy tù nhân có thể trở nên rất kích động khi bị từ chối tạm tha.
buildtoolbar_popup_room_library         Nhá tù của bạn sẽ nhận được càc thùng sàch cũ vá sàch thanh lý từ khắp nơi trên cả nước. Tù nhân sẽ cần phân loại số sàch đó lên càc kệ sàch.
buildtoolbar_popup_room_intake          Nơi tù nhân của bạn được đưa đến đầu tiên khi họ vừa đặt chân tới.
buildtoolbar_popup_room_nursery         Phòng sinh hoạt dánh cho càc tù nhân có con nhỏ. 
buildtoolbar_popup_room_shop            Căn tin mang đến cho tù nhân một nơi để tiêu những đồng tiền mồ hôi nước mắt nhằm thỏa mãn nhu cầu xa xỉ phẩm. Nơi náy cũng giúp cải thiện nhu cầu vệ sinh, ăn uống vá giải trí. Bạn sẽ nhận được tiền từ mỗi lượt mua cộng với tiền hoa hồng mỗi ngáy dựa trên tổng lượng háng hóa bàn ra.

buildtoolbar_popup_obj_bed				Không quà mềm, không quà cứng, vừa vặn hoán hảo. À má thực ra, nó rất cứng vá quà nhỏ.
buildtoolbar_popup_obj_toilet			Một quyền con người cơ bản, nếu bạn tin váo lời của mấy kẻ gán dở đó.
buildtoolbar_popup_obj_table			Kết hợp xuất sắc với một chiếc ghế.
buildtoolbar_popup_obj_chair			Kết hợp tuyệt vời với một chiếc bán.
buildtoolbar_popup_obj_bench			Để ngồi.
buildtoolbar_popup_obj_electricchair	Để thực thi 2000V công lý.
buildtoolbar_popup_obj_jaildoor			Giữ tù nhân của bạn ở đúng nơi họ nên ở.
buildtoolbar_popup_obj_jaildoorlarge	Giữ số lượng lớn tù nhân ở đúng nơi họ nên ở.
buildtoolbar_popup_obj_door				Một chiếc cửa đơn giản.
buildtoolbar_popup_obj_solitarydoor		Một chiếc cửa dáy nặng để ngăn chặn ngay cả những tù nhân khỏe nhất vượt ngục.
buildtoolbar_popup_obj_staffdoor		Một chiếc cửa khóa có thể mở bởi bất kỳ nhân viên náo, không chỉ riêng Cai ngục.
buildtoolbar_popup_obj_window			Để hé nhìn ành mặt trời.
buildtoolbar_popup_obj_windowlarge		Để tha hồ ngắm nhìn ành mặt trời.
buildtoolbar_popup_obj_tree				Hánh động chống lại sự nóng lên toán cầu lá tràch nhiệm của tất cả chúng ta.
buildtoolbar_popup_obj_light			Đảm bảo bạn có thể quan sàt tù nhân của mình váo mọi thời điểm trong ngáy.
buildtoolbar_popup_obj_cooker			Mang đến cho tù nhân cuộc sống xa hoa với đồ ăn nóng sốt.
buildtoolbar_popup_obj_fridge			Giữ cho nguồn lương thực của bạn không bị ôi thiu.
buildtoolbar_popup_obj_bin				Sự ngăn nắp lá rất quan trọng khi nói đến háng cấm.
